,current_delta,soc_coulomb,soc_kalman
245,1.1146,[-608.60413358],[-386.17459198]
246,0.70538,[-611.33352382],[-388.90398221]
247,1.5276,[-613.06083163],[-390.63129003]
248,1.124,[-616.80156061],[-394.37201901]
249,0.7128,[-619.55396922],[-384.58057401]
250,-0.49887,[-621.29944684],[-386.32605164]
251,0.89478,[-620.07783289],[-385.10443769]
252,1.7142,[-622.26893625],[-387.29554104]
253,0.70048,[-626.46660424],[-391.49320904]
254,-0.21884,[-628.18191312],[-393.20851791]
255,1.2937,[-627.64602602],[-392.67263081]
256,0.68831,[-630.81398955],[-395.84059435]
257,0.88929,[-632.49949699],[-397.52610179]
258,1.093,[-634.67715664],[-399.70376144]
259,0.28185,[-637.35365362],[-390.11142454]
260,1.698,[-638.04383722],[-390.80160814]
261,1.5089,[-642.20183527],[-394.95960619]
262,-0.078194,[-645.8967724],[-398.65454332]
263,0.88929,[-645.7052939],[-398.46306482]
264,1.093,[-647.88295355],[-400.64072447]
265,-0.081297,[-650.55945053],[-403.31722145]
266,2.7118,[-650.36037351],[-403.11814443]
267,0.90306,[-657.00092658],[-409.7586975]
268,-0.078194,[-659.21230568],[-411.9700766]
269,1.9111,[-659.02082718],[-399.61414583]
270,0.084907,[-663.70065643],[-404.29397509]
271,0.28185,[-663.90857348],[-404.50189213]
272,0.47868,[-664.59875708],[-405.19207573]
273,0.67631,[-665.77093052],[-406.36424917]
274,1.4829,[-667.42705282],[-408.02037147]
275,0.88383,[-671.05832214],[-411.65164079]
276,0.88383,[-673.22261154],[-413.8159302]
277,0.6811,[-675.38690095],[-415.9802196]
278,1.694,[-677.05475282],[-417.64807147]
279,0.48492,[-681.20295582],[-409.70714768]
280,0.88656,[-682.39040954],[-410.89460139]
281,1.2937,[-684.56138407],[-413.06557592]
282,1.5051,[-687.7293476],[-416.23353945]
283,0.69559,[-691.41497944],[-419.91917129]
284,3.1671,[-693.11831387],[-421.62250572]
285,2.1829,[-700.87378832],[-429.37798018]
286,1.9998,[-706.21919111],[-434.72338297]
287,1.5964,[-711.11622556],[-439.62041742]
288,2.6805,[-715.02542938],[-443.52962124]
289,1.4233,[-721.5893362],[-437.45497323]
290,2.9549,[-725.0746593],[-440.94029633]
291,1.4636,[-732.31050643],[-448.17614346]
292,1.6914,[-735.89451464],[-451.76015167]
293,2.8152,[-740.03635086],[-455.90198789]
294,1.0654,[-746.93010593],[-462.79574296]
295,2.1852,[-749.53901707],[-465.40465411]
296,1.757,[-754.89005202],[-470.75568905]
297,1.7695,[-759.19252703],[-475.05816406]
298,6.4018,[-763.52561157],[-479.3912486]
299,2.1159,[-779.20209679],[-481.36899372]
300,7.9136,[-784.38343253],[-486.55032946]
301,-2.9379,[-803.76195629],[-505.92885322]
302,0.26072,[-796.56773812],[-498.73463504]
303,1.1932,[-797.20617937],[-499.3730763]
304,0.72206,[-800.12804231],[-502.29493924]
305,2.3667,[-801.89619547],[-504.0630924]
306,1.9156,[-807.69168074],[-509.85857767]
307,0.97617,[-812.38252942],[-514.54942635]
308,-0.62823,[-814.77293752],[-516.93983445]
309,0.24381,[-813.23455171],[-501.49207442]
310,0.46769,[-813.8315844],[-502.08910711]
311,1.156,[-814.97684594],[-503.23436865]
312,0.69207,[-817.80761493],[-506.06513764]
313,1.3812,[-819.50232972],[-507.75985243]
314,1.1527,[-822.88455994],[-511.14208265]
315,1.6173,[-825.70724801],[-513.96477072]
316,3.2663,[-829.66763096],[-517.92515367]
317,2.3718,[-837.66602261],[-525.92354532]
318,3.5953,[-843.47399656],[-531.73151927]
319,4.151,[-852.27803095],[-526.28080311]
320,3.4975,[-862.44284243],[-536.44561459]
321,5.3167,[-871.00738788],[-545.01016004]
322,4.1756,[-884.02672135],[-558.02949351]
323,3.7387,[-894.25177238],[-568.25454454]
324,-0.94696,[-903.40695925],[-577.40973141]
325,-2.8522,[-901.08807949],[-575.09085165]
326,0.33794,[-894.10372023],[-568.10649238]
327,3.3004,[-894.93125489],[-568.93402705]
328,4.3626,[-903.01314933],[-577.01592149]
329,2.4058,[-913.69611888],[-572.46179461]
330,4.2276,[-919.58735074],[-578.35302647]
331,2.4839,[-929.9397374],[-588.70541313]
332,2.505,[-936.02221759],[-594.78789332]
333,1.4794,[-942.15636665],[-600.92204238]
334,2.5263,[-945.77906531],[-604.54474104]
335,1.4955,[-951.965373],[-610.73104874]
336,-0.40618,[-955.62749673],[-614.39317246]
337,1.4633,[-954.63285854],[-613.39853427]
338,0.42687,[-958.21613212],[-616.98180785]
339,0.41621,[-959.2614352],[-602.35259063]
340,-0.94842,[-960.28063447],[-603.37178991]
341,-0.95058,[-957.95817952],[-601.04933496]
342,-2.8125,[-955.63043524],[-598.72159068]
343,-1.9414,[-948.74329183],[-591.83444727]
344,-2.0775,[-943.98926509],[-587.08042052]
345,-4.2071,[-938.90196182],[-581.99311726]
346,-1.091,[-928.59977478],[-571.69093022]
347,1.6593,[-925.92817533],[-569.01933076]
348,-0.19359,[-929.99140628],[-573.08256172]
349,0.5667,[-929.51735043],[-558.65491868]
350,1.6394,[-930.90506391],[-560.04263216]
351,0.78484,[-934.9195645],[-564.05713275]
352,3.174,[-936.84145095],[-565.9790192]
353,1.6874,[-944.61382186],[-573.75139011]
354,3.0325,[-948.74586303],[-577.88343128]
355,1.0654,[-956.1717341],[-585.30930235]
356,1.9606,[-958.78064525],[-587.9182135]
357,-0.023889,[-963.58168822],[-592.71925647]
